Sample_ID,Habitat,Habitat_bins,Habitat_per_repl,Distance,Latitude,Longitude,Total.Rockfish,Total.Surfperch,Total.Greenling,Total.Goby,Total.Sculpin,Total.Wrasse,Total.Flatfish,Total.Seal,Total.SeaLion,Total.Pinnipeds,Total.Dolphin,Total.Sea.Otter,Total.Anchovy,Total.Gibbonsia
0F1,Open_water0,Open_water,Open_water0A,2665.7034,36.641467,121.888867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0F2,Open_water0,Open_water,Open_water0B,2665.7034,36.641467,121.888867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0F3,Open_water0,Open_water,Open_water0C,2665.7034,36.641467,121.888867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F1,Open_water1,Open_water,Open_water1A,1436.053,36.630519,121.893256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F2,Open_water1,Open_water,Open_water1B,1436.053,36.630519,121.893256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1F3,Open_water1,Open_water,Open_water1B,1436.053,36.630519,121.893256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F1,Open_water2,Open_water,Open_water2A,977.7627,36.627158,121.896261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F2,Open_water2,Open_water,Open_water2B,977.7627,36.627158,121.896261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2F3,Open_water2,Open_water,Open_water2C,977.7627,36.627158,121.896261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3F1,Sand_flat,Sand,Sand_flatA,596.3354,36.624578,121.899078,150,0,0,0,0,5,0,0,0,0,0,0,0,0
3F2,Sand_flat,Sand,Sand_flatB,596.3354,36.624578,121.899078,150,0,0,0,0,5,0,0,0,0,0,0,0,0
3F3,Sand_flat,Sand,Sand_flatC,596.3354,36.624578,121.899078,150,0,0,0,0,5,0,0,0,0,0,0,0,0
4F1,Deep_reef_lower,Deep_reef,Deep_reef_lowerA,470.1932,36.623567,121.899803,450,11,7,4,2,0,0,0,0,0,0,0,0,0
4F2,Deep_reef_lower,Deep_reef,Deep_reef_lowerB,470.1932,36.623567,121.899803,450,11,7,4,2,0,0,0,0,0,0,0,0,0
4F3,Deep_reef_lower,Deep_reef,Deep_reef_lowerC,470.1932,36.623567,121.899803,450,11,7,4,2,0,0,0,0,0,0,0,0,0
5F1,Deep_Reef_upper,Deep_reef,Deep_Reef_upperA,421.7002,36.62215,121.899233,455,2,7,4,0,0,0,0,1,1,0,0,0,0
5F2,Deep_Reef_upper,Deep_reef,Deep_Reef_upperB,421.7002,36.62215,121.899233,455,2,7,4,0,0,0,0,1,1,0,0,0,0
5F3,Deep_Reef_upper,Deep_reef,Deep_Reef_upperC,421.7002,36.62215,121.899233,455,2,7,4,0,0,0,0,1,1,0,0,0,0
7F1,Between_kelp_deep,Sand,Between_kelp_deepA,354.9885,36.622864,121.900753,0,0,0,0,0,0,7,0,0,0,0,0,0,0
7F2,Between_kelp_deep,Sand,Between_kelp_deepB,354.9885,36.622864,121.900753,0,0,0,0,0,0,7,0,0,0,0,0,0,0
7F3,Between_kelp_deep,Sand,Between_kelp_deepC,354.9885,36.622864,121.900753,0,0,0,0,0,0,7,0,0,0,0,0,0,0
8F1,Kelp_forest_outer,Kelp_forest,Kelp_forest_outerA,262.4887,36.62218,121.90137,150,2,4,0,1,420,0,0,0,0,0,0,0,0
8F2,Kelp_forest_outer,Kelp_forest,Kelp_forest_outerB,262.4887,36.62218,121.90137,150,2,4,0,1,420,0,0,0,0,0,0,0,0
8F3,Kelp_forest_outer,Kelp_forest,Kelp_forest_outerC,262.4887,36.62218,121.90137,150,2,4,0,1,420,0,0,0,0,0,0,0,0
9F1,Kelp_forest_mid,Kelp_forest,Kelp_forest_midA,206.0167,36.622083,121.902181,93,5,4,0,1,90,0,0,0,0,0,0,0,0
9F2,Kelp_forest_mid,Kelp_forest,Kelp_forest_midB,206.0167,36.622083,121.902181,93,5,4,0,1,90,0,0,0,0,0,0,0,0
9F3,Kelp_forest_mid,Kelp_forest,Kelp_forest_midC,206.0167,36.622083,121.902181,93,5,4,0,1,90,0,0,0,0,0,0,0,0
10F1,Kelp_forest_inner,Kelp_forest,Kelp_forest_innerA,140.631,36.621589,121.902581,13,4,0,0,1,155,0,1,0,1,0,0,0,0
10F2,Kelp_forest_inner,Kelp_forest,Kelp_forest_innerB,140.631,36.621589,121.902581,13,4,0,0,1,155,0,1,0,1,0,0,0,0
10F3,Kelp_forest_inner,Kelp_forest,Kelp_forest_innerC,140.631,36.621589,121.902581,13,4,0,0,1,155,0,1,0,1,0,0,0,0
11F1,Seagrass_outer,Seagrass,Seagrass_outerA,97.24,36.620735,121.902465,56,12,0,0,0,55,0,3,0,3,0,0,0,0
11F2,Seagrass_outer,Seagrass,Seagrass_outerB,97.24,36.620735,121.902465,56,12,0,0,0,55,0,3,0,3,0,0,0,0
11F3,Seagrass_outer,Seagrass,Seagrass_outerC,97.24,36.620735,121.902465,56,12,0,0,0,55,0,3,0,3,0,0,0,0
12F1,Seagrass_inner,Seagrass,Seagrass_innerA,43.5101,36.620506,121.903058,150,57,0,0,0,0,3,2,0,2,0,0,0,0
12F2,Seagrass_inner,Seagrass,Seagrass_innerB,43.5101,36.620506,121.903058,150,57,0,0,0,0,3,2,0,2,0,0,0,0
12F3,Seagrass_inner,Seagrass,Seagrass_innerC,43.5101,36.620506,121.903058,150,57,0,0,0,0,3,2,0,2,0,0,0,0
